,Word,Root_Word,Predicted_Root
0,ी,ी,ी
1,सहयोगी,सहयोग,सहयो
2,जिनकी,जिन,जिनक
3,विपक्ष्ाी,विपक्ष,विपक्ष्ा
4,हिरासती,हिरासत,हिरास
5,पाकिस्तानी,पाकिस्तान,पाकिस्ता
6,गलती,गलत,गल
7,सकेगी,सके,सक
8,हमारी,हम,हमार
9,फलस्तीनी,फलस्तीन,फलस्ती
10,गुमश्दाुगी,गुमश्दा,गुमश्दाु
11,देगी,दे,द
12,करेंगी,कर,करें
13,मेरी,मैं,मेर
14,बरती,बरत,बर
15,जिसकी,जो,जिसक
16,मानी,मान,मा
17,जाएँगी,जा,जाएँ
18,लकड़ी,लकडी,लकड़
19,बढ़ती,बढ,बढ़
20,भड़की,भडक,भड़क
21,बड़ी,बडा,बड़
22,जिनकी,जो,जिनक
23,निभाएँगी,निभा,निभाएँ
24,सुनी,सुन,सु
25,अभी,अब,अभ
26,बढ़ोतरी,बढोतरी,बढ़ोतर
27,लगी,लग,ल
28,करूँगी,कर,करूँ
29,दिल्‍ली,दिल्ली,दिल्‍ल
30,पहाड़ी,पहाडी,पहाड़
31,किसी,कोई,किस
32,आपकी,आप,आपक
33,मिलेंगी,मिल,मिलें
34,रहेंगी,रह,रहें
35,लेगी,ले,ल
36,तक़नीकी,तकनीकी,तक़नीक
37,मांगी,मांग,मां
38,हमारी,हम,हमार
39,बनी,बन,ब
40,होंगी,हो,हों
41,सभी,सब,सभ
42,मज़हबी,मजहबी,मज़हब
43,फ़र्जी,फर्जी,फ़र्ज
44,पिलायी,पिला,पिलाय
45,होनेवाली,हो,होनेवाल
46,बढ़ेगी,बढ,बढ़
47,कढ़ी,कढ,कढ़
48,बाक़ी,बाकी,बाक़
49,नज़दीकी,नजदीकी,नज़दीक
50,जतायी,जता,जताय
51,खाड़ी,खाडी,खाड़
52,तड़पती,तडप,तड़प
53,संभालेंगी,संभाल,संभालें
54,जानी,जान,जा
55,देगी,दे,द
56,बिगड़ती,बिगड,बिगड़
57,घटेंगी,घट,घटें
58,बतायी,बता,बताय
59,करेंगी,कर,करें
60,राज़ी,राजी,राज़
61,मेरी,मैं,मेर
62,बीती,बीत,बी
63,पड़ी,पड,पड़
64,बरती,बरत,बर
65,माँगी,माँग,माँ
66,पहुँची,पहुंच,पहुँच
67,बड़ी,बडी,बड़
68,आज़ादी,आजादी,आज़ाद
69,कड़ी,कडा,कड़
70,थोड़ी,थोडी,थोड़
71,घड़ी,घडी,घड़
72,पहुंचेंगी,पहुंच,पहुंचें
73,जिसकी,जो,जिसक
74,बंधी,बँध,बंध
75,नक़वी,नकवी,नक़व
76,पायी,पा,पाय
77,अच्‍छी,अच्छा,अच्‍छ
78,पहचानी,पहचान,पहचा
79,ज़िम्मेदारी,जिम्मेदारी,ज़िम्मेदार
80,चलायी,चला,चलाय
81,पगड़ी,पगडी,पगड़
82,मानी,मान,मा
83,लक्ष्‍मी,लक्ष्मी,लक्ष्‍म
84,माँगी,मांग,माँ
85,पकौड़ी,पकौडी,पकौड़
86,एड़ी,एडी,एड़
87,लकड़ी,लकडी,लकड़
88,गड़ी,गड,गड़
89,बढ़ती,बढ,बढ़
90,पिछड़ी,पिछडा,पिछड़
91,बढ़ी,बढ,बढ़
92,गवांनी,गवाँ,गवां
93,पिछड़ी,पिछड,पिछड़
94,लगवाती,लग,लगवा
95,ख़ाली,खाली,ख़ाल
96,खुलेंगी,खुल,खुलें
97,हाज़ी,हाजी,हाज़
98,नक़दी,नकदी,नक़द
